2024-06-12 15:26:32.369 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X31sZmlsZQ%3D%3D
2024-06-12 15:26:33.095 [info] /home/j/dsc/prj/logistic regression sonar/rockormine.ipynb closed
2024-06-12 15:26:33.095 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X32sZmlsZQ%3D%3D
2024-06-12 15:26:35.424 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X20sZmlsZQ%3D%3D
2024-06-12 15:26:35.576 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X16sZmlsZQ%3D%3D
2024-06-12 15:26:35.875 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X15sZmlsZQ%3D%3D
2024-06-12 15:26:36.027 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X14sZmlsZQ%3D%3D
2024-06-12 15:26:36.181 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X13sZmlsZQ%3D%3D
2024-06-12 15:26:36.339 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X12sZmlsZQ%3D%3D
2024-06-12 15:26:36.486 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X22sZmlsZQ%3D%3D
2024-06-12 15:26:36.494 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X11sZmlsZQ%3D%3D
2024-06-12 15:26:36.659 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X10sZmlsZQ%3D%3D
2024-06-12 15:26:36.968 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X14sZmlsZQ%3D%3D
2024-06-12 15:26:36.974 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W5sZmlsZQ%3D%3D
2024-06-12 15:26:37.107 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W4sZmlsZQ%3D%3D
2024-06-12 15:26:37.269 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:26:37.393 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X11sZmlsZQ%3D%3D
2024-06-12 15:26:37.398 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:26:37.550 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
2024-06-12 15:26:37.715 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W0sZmlsZQ%3D%3D
2024-06-12 15:26:38.700 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W5sZmlsZQ%3D%3D
2024-06-12 15:26:38.753 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X10sZmlsZQ%3D%3D
2024-06-12 15:26:38.780 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:26:38.785 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X11sZmlsZQ%3D%3D
2024-06-12 15:26:38.800 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X12sZmlsZQ%3D%3D
2024-06-12 15:26:38.827 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X13sZmlsZQ%3D%3D
2024-06-12 15:26:38.843 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X14sZmlsZQ%3D%3D
2024-06-12 15:26:38.868 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X15sZmlsZQ%3D%3D
2024-06-12 15:26:38.885 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X16sZmlsZQ%3D%3D
2024-06-12 15:26:38.914 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X20sZmlsZQ%3D%3D
2024-06-12 15:26:38.961 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X22sZmlsZQ%3D%3D
2024-06-12 15:26:38.976 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X23sZmlsZQ%3D%3D
2024-06-12 15:26:39.008 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X14sZmlsZQ%3D%3D
2024-06-12 15:26:39.013 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X32sZmlsZQ%3D%3D
